cluster,keyword,count,rank
0,SQL,70,1
0,Java,66,2
0,데이터,61,3
0,AWS,49,4
0,Spring,45,5
0,Git,42,6
0,Docker,34,7
0,Python,31,8
0,Linux,29,9
0,Kubernetes,26,10
1,OA,17,1
1,데이터,9,2
1,ERP,4,3
1,엑셀,3,4
1,Notion,1,5
1,Slack,1,6
1,GPT,1,7
1,포토샵,1,8
2,Photoshop,18,1
2,데이터,15,2
2,AI,15,3
2,Illustrator,14,4
2,생성형,12,5
2,After,11,6
2,Effects,11,7
2,Premiere,11,8
2,프리미어,10,9
2,React,8,10
3,데이터,32,1
4,포토샵,30,1
4,일러스트,13,2
4,프리미어,10,3
4,데이터,6,4
4,PPT,4,5
4,엑셀,3,6
4,Photoshop,2,7
4,피그마,1,8
4,JavaScript,1,9
4,Java,1,10
5,SAP,15,1
5,ERP,10,2
5,엑셀,4,3
5,Excel,2,4
5,데이터,2,5
5,PPT,1,6
5,Tableau,1,7
5,OA,1,8
6,엑셀,29,1
6,데이터,5,2
6,ERP,3,3
6,PPT,2,4
6,GPT,1,5
7,ERP,19,1
7,데이터,2,2
8,Excel,26,1
8,ERP,15,2
8,데이터,13,3
8,PowerPoint,9,4
8,엑셀,8,5
8,PPT,6,6
8,포토샵,5,7
8,OA,4,8
8,SAP,4,9
8,Illustrator,3,10
9,Figma,20,1
9,Photoshop,7,2
9,데이터,7,3
9,Illustrator,1,4
9,Git,1,5
9,AI,1,6
9,피그마,1,7
9,Jira,1,8
9,Confluence,1,9
