tech1,tech2,together,support,confidence_1_to_2,confidence_2_to_1,lift
GPT,LLM,4,0.036036036036036036,0.4,0.5,5.550000000000001
Django,Python,5,0.04504504504504504,1.0,0.1388888888888889,3.083333333333333
Django,Docker,5,0.04504504504504504,1.0,0.1388888888888889,3.083333333333333
Flask,Python,5,0.04504504504504504,1.0,0.1388888888888889,3.083333333333333
Claude,Kubernetes,3,0.02702702702702703,0.75,0.10344827586206896,2.870689655172414
Django,Git,5,0.04504504504504504,1.0,0.10204081632653061,2.2653061224489797
AWS,Claude,4,0.036036036036036036,0.07692307692307693,1.0,2.1346153846153846
Docker,Kubernetes,20,0.18018018018018017,0.5555555555555556,0.6896551724137931,2.126436781609195
JavaScript,React,4,0.036036036036036036,0.25,0.2857142857142857,1.9821428571428572
LLM,Python,5,0.04504504504504504,0.625,0.1388888888888889,1.9270833333333333
Kubernetes,LLM,4,0.036036036036036036,0.13793103448275862,0.5,1.913793103448276
Claude,Git,3,0.02702702702702703,0.75,0.061224489795918366,1.6989795918367347
Docker,Python,18,0.16216216216216217,0.5,0.5,1.5416666666666665
Java,JavaScript,16,0.14414414414414414,0.2222222222222222,1.0,1.5416666666666665
AWS,JavaScript,11,0.0990990990990991,0.21153846153846154,0.6875,1.4675480769230769
Django,SQL,5,0.04504504504504504,1.0,0.06578947368421052,1.4605263157894737
Claude,SQL,4,0.036036036036036036,1.0,0.05263157894736842,1.4605263157894737
AWS,Kubernetes,19,0.17117117117117117,0.36538461538461536,0.6551724137931034,1.3985411140583555
Docker,Git,22,0.1981981981981982,0.6111111111111112,0.4489795918367347,1.3843537414965985
AWS,SQL,48,0.43243243243243246,0.9230769230769231,0.631578947368421,1.3481781376518218
Docker,SQL,32,0.2882882882882883,0.8888888888888888,0.42105263157894735,1.2982456140350878
LLM,SQL,7,0.06306306306306306,0.875,0.09210526315789473,1.2779605263157894
JavaScript,SQL,14,0.12612612612612611,0.875,0.18421052631578946,1.2779605263157894
Kubernetes,Python,12,0.10810810810810811,0.41379310344827586,0.3333333333333333,1.2758620689655173
AWS,Java,42,0.3783783783783784,0.8076923076923077,0.5833333333333334,1.2451923076923077
Java,Kubernetes,23,0.2072072072072072,0.3194444444444444,0.7931034482758621,1.2227011494252873
JavaScript,Kubernetes,5,0.04504504504504504,0.3125,0.1724137931034483,1.1961206896551724
Git,SQL,40,0.36036036036036034,0.8163265306122449,0.5263157894736842,1.192266380236305
AWS,Docker,20,0.18018018018018017,0.38461538461538464,0.5555555555555556,1.185897435897436
Python,SQL,29,0.26126126126126126,0.8055555555555556,0.3815789473684211,1.1765350877192982
AWS,Git,27,0.24324324324324326,0.5192307692307693,0.5510204081632653,1.1762166405023549
Git,Kubernetes,15,0.13513513513513514,0.30612244897959184,0.5172413793103449,1.1717100633356792
Flask,SQL,4,0.036036036036036036,0.8,0.05263157894736842,1.168421052631579
Kubernetes,SQL,23,0.2072072072072072,0.7931034482758621,0.3026315789473684,1.1583484573502723
Claude,Java,3,0.02702702702702703,0.75,0.041666666666666664,1.15625
JavaScript,Python,6,0.05405405405405406,0.375,0.16666666666666666,1.15625
Docker,LLM,3,0.02702702702702703,0.08333333333333333,0.375,1.15625
Git,JavaScript,8,0.07207207207207207,0.16326530612244897,0.5,1.1326530612244898
Java,SQL,55,0.4954954954954955,0.7638888888888888,0.7236842105263158,1.1156798245614035
Kubernetes,React,4,0.036036036036036036,0.13793103448275862,0.2857142857142857,1.0935960591133005
Git,Python,17,0.15315315315315314,0.3469387755102041,0.4722222222222222,1.0697278911564625
Docker,Java,24,0.21621621621621623,0.6666666666666666,0.3333333333333333,1.0277777777777777
Git,React,6,0.05405405405405406,0.12244897959183673,0.42857142857142855,0.9708454810495628
Docker,JavaScript,5,0.04504504504504504,0.1388888888888889,0.3125,0.9635416666666666
GPT,Python,3,0.02702702702702703,0.3,0.08333333333333333,0.925
AWS,React,6,0.05405405405405406,0.11538461538461539,0.42857142857142855,0.914835164835165
Git,Java,29,0.26126126126126126,0.5918367346938775,0.4027777777777778,0.9124149659863945
GPT,Git,4,0.036036036036036036,0.4,0.08163265306122448,0.9061224489795919
AWS,Python,15,0.13513513513513514,0.28846153846153844,0.4166666666666667,0.889423076923077
Python,React,4,0.036036036036036036,0.1111111111111111,0.2857142857142857,0.880952380952381
Java,Python,20,0.18018018018018017,0.2777777777777778,0.5555555555555556,0.8564814814814814
AWS,GPT,4,0.036036036036036036,0.07692307692307693,0.4,0.8538461538461539
Git,LLM,3,0.02702702702702703,0.061224489795918366,0.375,0.8494897959183674
AWS,LLM,3,0.02702702702702703,0.057692307692307696,0.375,0.8004807692307693
Java,React,7,0.06306306306306306,0.09722222222222222,0.5,0.7708333333333334
React,SQL,7,0.06306306306306306,0.5,0.09210526315789473,0.7302631578947368
GPT,SQL,5,0.04504504504504504,0.5,0.06578947368421052,0.7302631578947368
Docker,React,3,0.02702702702702703,0.08333333333333333,0.21428571428571427,0.6607142857142858
Java,LLM,3,0.02702702702702703,0.041666666666666664,0.375,0.578125
GPT,Java,3,0.02702702702702703,0.3,0.041666666666666664,0.4625
