키워드,TF-IDF 점수
데이터,68.28329961678007
erp,37.05889219318904
엑셀,35.726161339486936
java,27.35242016178966
sql,24.180963814969182
포토샵,22.620998355117383
oa,20.729482933848427
spring,19.443538342414843
figma,19.076749559426887
aws,18.564178433015325
excel,17.64381964790138
git,17.331768419186492
프리미어,16.89754128544713
photoshop,15.551996007133496
python,13.864306092922103
sap,13.559507345838593
docker,13.2309115951156
linux,12.179770774506876
kubernetes,11.124550259399111
illustrator,10.361018759787045
