Date,Open,High,Low,Close,Adj Close,Volume
2024-12-13,131.3,131.3,124.77,126.91,126.91,67544700
2024-12-16,126.01,127.76,123.12,126.69,126.69,42090300
2024-12-17,124.45,127.08,123.15,125.02,125.02,43314900
2024-12-18,125.43,127.75,120.43,121.41,121.41,49724400
2024-12-19,122.16,123.38,118.45,118.88,118.88,46160700
2024-12-20,118.0,121.86,117.9,119.21,119.21,53591200
2024-12-23,120.71,126.34,120.47,124.6,124.6,47777900
2024-12-24,127.51,127.51,124.66,126.29,126.29,24829600
2024-12-26,125.52,127.3,125.05,125.06,125.06,24998200
2024-12-27,124.37,126.18,122.26,125.19,125.19,32924000
2024-12-30,123.56,124.1,122.35,122.44,122.44,30501600
2024-12-31,123.1,123.55,120.14,120.79,120.79,30203400
2025-01-02,122.29,123.14,119.44,120.63,120.63,34256200
2025-01-03,121.65,125.56,121.42,125.37,125.37,36785300
2025-01-06,129.07,130.73,127.36,129.55,129.55,48020200
2025-01-07,130.51,131.71,126.85,127.33,127.33,39220400
2025-01-08,124.51,125.3,120.12,121.84,121.84,46723100
2025-01-10,118.18,118.71,114.45,116.04,116.04,59415600
2025-01-13,115.28,117.48,114.41,117.32,117.32,39128900
2025-01-14,118.0,118.66,114.5,116.09,116.09,37005300
2025-01-15,117.55,120.42,117.46,119.96,119.96,38185800
2025-01-16,120.24,121.09,118.25,118.44,118.44,29414100
2025-01-17,120.78,122.74,120.55,121.46,121.46,35765900
2025-01-21,122.39,123.75,121.12,122.28,122.28,31578800
2025-01-22,123.08,125.65,121.91,123.75,123.75,35023800
2025-01-23,121.43,123.71,120.63,123.04,123.04,24921100
2025-01-24,124.55,125.25,122.23,122.84,122.84,31570300
2025-01-27,117.8,118.08,112.8,115.01,115.01,61067900
2025-01-28,115.18,116.15,112.95,114.17,114.17,40554800
2025-01-29,115.77,118.52,114.96,117.35,117.35,40199100
2025-01-30,118.53,120.44,117.09,118.86,118.86,29788400
