Date,Open,High,Low,Close,Adj Close,Volume
2024-12-13,228.4,230.2,225.86,227.46,227.46,28768100
2024-12-16,230.23,233.0,228.01,232.93,232.93,37552100
2024-12-17,232.39,232.73,227.85,231.15,231.15,35948100
2024-12-18,230.77,231.4,220.11,220.52,220.52,43281400
2024-12-19,224.91,226.09,222.92,223.29,223.29,39918700
2024-12-20,219.84,226.21,218.73,224.92,224.92,88279200
2024-12-23,225.01,226.88,223.9,225.06,225.06,28070000
2024-12-24,226.94,229.14,226.13,229.05,229.05,15007500
2024-12-26,228.5,228.5,226.67,227.05,227.05,16146700
2024-12-27,225.6,226.03,220.9,223.75,223.75,27367100
2024-12-30,220.06,223.0,218.43,221.3,221.3,28321200
2024-12-31,222.97,223.23,218.94,219.39,219.39,24819700
2025-01-02,222.03,225.15,218.19,220.22,220.22,33956600
2025-01-03,222.51,225.36,221.62,224.19,224.19,27515600
2025-01-06,226.78,228.84,224.84,227.61,227.61,31849800
2025-01-07,227.9,228.38,221.46,222.11,222.11,28084200
2025-01-08,223.19,223.52,220.2,222.13,222.13,25033300
2025-01-10,221.46,221.71,216.5,218.94,218.94,36811500
2025-01-13,218.06,219.4,216.47,218.46,218.46,27262700
2025-01-14,220.44,221.82,216.2,217.76,217.76,24711700
2025-01-15,222.83,223.57,220.75,223.35,223.35,31291300
2025-01-16,224.42,224.65,220.31,220.66,220.66,24757300
2025-01-17,225.84,226.51,223.08,225.94,225.94,42370100
2025-01-21,228.9,231.78,226.94,230.71,230.71,39951500
2025-01-22,232.02,235.44,231.19,235.01,235.01,41448200
2025-01-23,234.1,235.52,231.51,235.42,235.42,26404400
2025-01-24,234.5,236.4,232.93,234.85,234.85,25890700
2025-01-27,226.21,235.61,225.86,235.42,235.42,49428300
2025-01-28,234.29,241.77,233.98,238.15,238.15,41587200
2025-01-29,239.02,240.39,236.15,237.07,237.07,26091700
2025-01-30,237.14,237.95,232.22,234.64,234.64,32020700
2025-01-31,236.5,240.29,236.41,237.68,237.68,36110200
2025-02-03,234.06,239.25,232.9,237.42,237.42,37285900
2025-02-04,239.01,242.52,238.03,242.06,242.06,29713800
2025-02-05,237.02,238.32,235.2,236.17,236.17,38727300
2025-02-06,238.01,239.66,236.01,238.83,238.83,60897100
2025-02-07,232.5,234.81,228.06,229.15,229.15,77539300
2025-02-10,230.55,233.92,229.2,233.14,233.14,35419900
2025-02-11,231.92,233.44,230.13,232.76,232.76,23713700
2025-02-12,230.46,231.18,228.16,228.93,228.93,32285200
2025-02-13,228.85,230.42,227.52,230.37,230.37,31346500
2025-02-14,229.2,229.89,227.23,228.68,228.68,27031100
2025-02-18,228.82,229.3,223.72,226.65,226.65,42975100
2025-02-19,225.52,226.83,223.71,226.63,226.63,28566700
2025-02-20,224.78,225.13,221.81,222.88,222.88,30001700
2025-02-21,223.28,223.31,214.74,216.58,216.58,55323900
2025-02-24,217.45,217.72,212.42,212.71,212.71,42387600
2025-02-25,211.63,213.34,204.16,212.8,212.8,58958000
2025-02-26,214.94,218.16,213.09,214.35,214.35,39120600
2025-02-27,218.35,219.97,208.37,208.74,208.74,40548600
2025-02-28,208.65,212.62,206.99,212.28,212.28,51771700
2025-03-03,213.35,214.01,202.55,205.02,205.02,42948400
2025-03-04,200.11,206.8,197.43,203.8,203.8,60853100
2025-03-05,204.8,209.98,203.26,208.36,208.36,38610100
2025-03-06,204.4,205.77,198.3,200.7,200.7,49863800
2025-03-07,199.49,202.27,192.53,199.25,199.25,59802800
2025-03-10,195.6,196.73,190.85,194.54,194.54,62350900
2025-03-11,193.9,200.18,193.4,196.59,196.59,54002900
2025-03-12,200.72,201.52,195.29,198.89,198.89,43679300
2025-03-13,198.17,198.88,191.82,193.89,193.89,41270800
2025-03-14,197.41,198.65,195.32,197.95,197.95,38096700
2025-03-17,198.77,199.0,194.32,195.74,195.74,47341800
2025-03-18,192.52,194.0,189.38,192.82,192.82,40414900
2025-03-19,193.38,195.97,191.96,195.54,195.54,39442900
2025-03-20,193.07,199.32,192.3,194.95,194.95,38921100
2025-03-21,192.9,196.99,192.52,196.21,196.21,60056900
2025-03-24,200.0,203.64,199.95,203.26,203.26,41625400
2025-03-25,203.6,206.21,203.22,205.71,205.71,31171200
2025-03-26,205.84,206.01,199.93,201.13,201.13,32855300
2025-03-27,200.89,203.79,199.28,201.36,201.36,27317700
