Date,Open,High,Low,Close,Adj Close,Volume
2024-12-13,191.01,192.73,189.64,189.82,189.08,25143500
2024-12-16,192.87,199.0,192.62,196.66,195.89,44934900
2024-12-17,197.25,201.42,194.98,195.42,194.66,43504000
2024-12-18,195.22,197.0,187.74,188.4,187.67,34166100
2024-12-19,191.63,193.03,188.38,188.51,187.77,32265200
2024-12-20,185.78,192.89,185.22,191.41,190.66,63462900
2024-12-23,192.62,195.1,190.15,194.63,193.87,25675000
2024-12-24,194.84,196.11,193.78,196.11,195.34,10403300
2024-12-26,195.15,196.75,194.38,195.6,194.84,12046600
2024-12-27,194.95,195.32,190.65,192.76,192.01,18891400
2024-12-30,189.8,192.55,189.12,191.24,190.49,14264700
2024-12-31,191.08,191.96,188.51,189.3,188.56,17466900
2025-01-02,190.65,192.0,187.5,189.43,188.69,20370800
2025-01-03,191.37,193.21,189.98,191.79,191.04,18596200
2025-01-06,193.98,198.22,193.85,196.87,196.1,29563600
2025-01-07,197.11,201.0,194.6,195.49,194.73,26487200
2025-01-08,192.57,196.29,192.38,193.95,193.19,24864800
2025-01-10,194.3,196.52,190.31,192.04,191.29,26665200
2025-01-13,190.07,191.18,187.36,191.01,190.26,21823700
2025-01-14,191.24,191.98,188.31,189.66,188.92,17174900
2025-01-15,193.09,196.36,191.86,195.55,194.79,21776000
2025-01-16,194.14,195.48,192.81,192.91,192.16,17815400
2025-01-17,196.53,197.23,193.75,196.0,195.24,27735100
2025-01-21,199.07,202.29,197.87,198.05,197.28,29971300
2025-01-22,199.06,200.48,197.53,198.37,197.6,26200600
2025-01-23,198.14,200.3,195.2,197.98,197.21,26951400
2025-01-24,198.1,200.9,198.0,200.21,199.43,23877500
2025-01-27,192.41,196.88,190.73,191.81,191.06,41728900
2025-01-28,192.75,195.48,190.68,195.3,194.54,24157900
2025-01-29,195.56,196.79,193.43,195.41,194.65,18218300
2025-01-30,198.0,201.4,197.67,200.87,200.09,24354700
2025-01-31,202.0,205.48,201.8,204.02,203.22,32001100
2025-02-03,200.69,203.75,200.1,201.23,200.44,27838300
2025-02-04,203.39,207.05,202.81,206.38,205.57,43856400
2025-02-05,191.07,192.75,188.03,191.33,190.58,70373900
2025-02-06,189.5,192.1,188.72,191.6,190.85,29297400
2025-02-07,191.05,191.18,183.24,185.34,184.62,49315000
2025-02-10,187.35,188.2,185.86,186.47,185.74,23105600
2025-02-11,185.03,186.94,184.28,185.32,184.6,21239500
2025-02-12,183.22,185.11,181.83,183.61,182.89,22072600
2025-02-13,184.32,186.28,183.14,186.14,185.41,21402500
2025-02-14,185.06,186.4,184.32,185.23,184.51,20448400
2025-02-18,185.6,185.96,181.74,183.77,183.05,29916700
2025-02-19,184.07,185.46,183.59,185.27,184.55,19549400
2025-02-20,184.8,185.31,182.72,184.56,183.84,20441500
2025-02-21,185.15,185.34,179.08,179.66,178.96,35199200
2025-02-24,181.99,183.12,178.89,179.25,178.55,29854200
2025-02-25,178.04,178.74,174.69,175.42,174.74,41913400
2025-02-26,175.07,176.08,171.58,172.73,172.06,35431300
2025-02-27,173.99,174.56,167.94,168.5,167.84,39991000
2025-02-28,168.68,170.61,166.77,170.28,169.62,48130600
2025-03-03,171.93,173.37,165.93,167.01,166.36,40770500
2025-03-04,166.24,173.29,165.8,170.92,170.25,45388000
2025-03-05,170.52,173.78,169.06,173.02,172.35,30954900
2025-03-06,170.53,174.81,170.5,172.35,171.68,28302000
2025-03-07,171.26,174.97,170.27,173.86,173.18,27385800
2025-03-10,168.26,168.46,163.69,165.87,165.41,43604000
2025-03-11,164.91,166.75,161.37,164.04,163.59,39587400
2025-03-12,166.58,167.64,163.53,167.11,166.65,28372400
2025-03-13,166.04,166.13,162.11,162.76,162.31,31756200
2025-03-14,163.27,166.49,162.45,165.49,165.03,31995900
2025-03-17,165.03,166.3,163.67,164.29,163.84,31184300
2025-03-18,163.68,164.25,156.72,160.67,160.23,42074800
2025-03-19,161.76,165.87,161.0,163.89,163.44,34275600
2025-03-20,161.57,164.89,160.96,162.8,162.35,28138500
2025-03-21,161.21,164.24,160.89,163.99,163.54,36625800
2025-03-24,167.07,168.32,165.14,167.68,167.22,30879100
2025-03-25,168.98,170.63,168.32,170.56,170.09,24174400
2025-03-26,169.0,169.61,164.84,165.06,164.61,28901600
2025-03-27,164.63,165.42,162.0,162.24,161.79,24508300
2025-03-28,160.49,161.82,153.63,154.33,153.9,48669300
2025-03-31,153.11,155.54,150.66,154.64,154.21,54603500
2025-04-01,153.62,158.1,153.62,157.07,156.64,30672900
2025-04-02,155.15,158.41,154.7,157.04,156.61,25041700
