Date,Open,High,Low,Close,Adj Close,Volume
2024-12-13,20.6,20.8,20.25,20.34,20.34,55104100
2024-12-16,20.17,21.1,20.0,20.83,20.83,73832900
2024-12-17,20.64,20.77,20.29,20.44,20.44,51767200
2024-12-18,20.48,20.58,19.21,19.3,19.3,86041200
2024-12-19,19.53,19.69,19.03,19.06,19.06,69117800
2024-12-20,18.97,19.76,18.9,19.52,19.52,108453700
2024-12-23,19.58,20.23,19.52,20.2,20.2,57988400
2024-12-24,20.22,20.4,19.96,20.4,20.4,29884000
2024-12-26,20.23,20.67,20.08,20.44,20.44,39846200
2024-12-27,20.21,20.61,20.09,20.3,20.3,48260800
2024-12-30,20.01,20.11,19.73,19.82,19.82,59608100
2024-12-31,19.99,20.4,19.88,20.05,20.05,49846700
2025-01-02,20.23,20.43,20.0,20.22,20.22,46438500
2025-01-03,20.39,20.67,20.06,20.56,20.56,48983900
2025-01-06,20.83,20.98,19.78,19.87,19.87,83271000
2025-01-07,20.02,20.34,19.9,20.01,20.01,61726100
2025-01-08,19.83,20.12,19.71,19.88,19.88,47897100
2025-01-10,19.66,19.66,18.91,19.15,19.15,71244600
2025-01-13,18.92,19.25,18.73,19.2,19.2,50669000
2025-01-14,19.36,19.52,18.82,19.2,19.2,47147500
2025-01-15,19.4,19.77,19.17,19.72,19.72,56306000
2025-01-16,19.75,19.95,19.4,19.67,19.67,44898100
2025-01-17,21.26,21.62,20.79,21.49,21.49,166483900
2025-01-21,22.03,22.41,21.75,21.77,21.77,96262200
2025-01-22,21.73,22.29,21.57,21.86,21.86,60972600
2025-01-23,21.69,21.75,21.35,21.57,21.57,55778200
2025-01-24,21.36,21.41,20.75,20.83,20.83,66300600
2025-01-27,20.81,21.06,20.14,20.29,20.29,83582100
2025-01-28,20.34,20.34,19.74,19.8,19.8,73411400
2025-01-29,19.87,20.08,19.66,19.75,19.75,86506800
2025-01-30,19.72,20.1,19.43,20.01,20.01,108167000
2025-01-31,20.1,20.33,19.38,19.43,19.43,117081700
2025-02-03,18.97,19.75,18.78,19.38,19.38,77523100
2025-02-04,19.1,19.53,19.02,19.29,19.29,54098200
2025-02-05,19.19,19.77,18.91,19.65,19.65,66059200
2025-02-06,19.51,19.7,19.22,19.38,19.38,45553800
2025-02-07,19.35,19.36,19.03,19.1,19.1,58277900
2025-02-10,19.25,20.08,19.24,19.77,19.77,73007300
2025-02-11,19.87,21.88,19.86,20.97,20.97,150960700
2025-02-12,21.98,22.56,20.93,22.48,22.48,162631200
2025-02-13,22.84,24.83,22.79,24.13,24.13,248661300
2025-02-14,24.36,25.19,22.86,23.6,23.6,230254100
2025-02-18,24.6,27.55,24.49,27.39,27.39,284292200
2025-02-19,25.98,26.33,25.46,25.72,25.72,151881700
2025-02-20,25.56,26.12,24.48,26.09,26.09,144939600
2025-02-21,25.96,26.29,24.84,24.87,24.87,111630900
2025-02-24,24.55,24.8,23.62,24.27,24.27,91358100
2025-02-25,24.21,24.28,22.77,22.99,22.99,88886500
2025-02-26,23.25,23.82,23.21,23.52,23.52,67449300
