Date,Open,High,Low,Close,Adj Close,Volume
2024-12-13,448.44,451.43,445.58,447.27,443.99,20177800
2024-12-16,447.27,452.18,445.28,451.59,448.28,23598800
2024-12-17,451.01,455.29,449.57,454.46,451.13,22733500
2024-12-18,451.32,452.65,437.02,437.39,434.19,24444500
2024-12-19,441.62,443.18,436.32,437.03,433.83,22963700
2024-12-20,433.11,443.74,428.63,436.6,433.4,64263700
2024-12-23,436.74,437.65,432.83,435.25,432.06,19152500
2024-12-24,434.65,439.6,434.19,439.33,436.11,7164500
2024-12-26,439.08,440.94,436.63,438.11,434.9,8194200
2024-12-27,434.6,435.22,426.35,430.53,427.38,18117700
2024-12-30,426.06,427.55,421.9,424.83,421.72,13158700
2024-12-31,426.1,426.73,420.66,421.5,418.41,13246500
2025-01-02,425.53,426.07,414.85,418.58,415.51,16896500
2025-01-03,421.08,424.03,419.54,423.35,420.25,16662900
2025-01-06,428.0,434.32,425.48,427.85,424.72,20573600
2025-01-07,429.0,430.65,420.8,422.37,419.28,18139100
2025-01-08,423.46,426.97,421.54,424.56,421.45,15054600
2025-01-10,424.63,424.71,415.02,418.95,415.88,20201100
2025-01-13,415.24,418.5,412.29,417.19,414.14,17604800
2025-01-14,417.81,419.74,410.72,415.67,412.63,16935900
2025-01-15,419.13,428.15,418.27,426.31,423.19,19637800
2025-01-16,428.7,429.49,424.39,424.58,421.47,15300000
2025-01-17,434.09,434.48,428.17,429.03,425.89,26197500
2025-01-21,430.2,430.9,425.6,428.5,425.36,26085700
2025-01-22,437.56,447.27,436.0,446.2,442.93,27803800
2025-01-23,442.0,446.75,441.5,446.71,443.44,18389300
2025-01-24,445.16,446.65,441.4,444.06,440.81,15549500
2025-01-27,424.01,435.2,423.5,434.56,431.38,35647800
2025-01-28,434.6,448.38,431.38,447.2,443.93,23491700
2025-01-29,446.69,446.88,440.4,442.33,439.09,23581400
2025-01-30,418.77,422.86,413.16,414.99,411.95,54586300
2025-01-31,418.98,420.69,414.91,415.06,412.02,34161900
2025-02-03,411.6,415.41,408.66,410.92,407.91,25679100
2025-02-04,412.69,413.92,409.74,412.37,409.35,20532100
2025-02-05,412.35,413.83,410.4,413.29,410.26,16316700
2025-02-06,414.0,418.2,414.0,415.82,412.78,16309800
2025-02-07,416.48,418.65,408.1,409.75,406.75,22886800
2025-02-10,413.71,415.46,410.92,412.22,409.2,20817900
2025-02-11,409.64,412.49,409.3,411.44,408.43,18140600
2025-02-12,407.21,410.75,404.37,409.04,406.04,19121700
2025-02-13,407.0,411.0,406.36,410.54,407.53,23891700
2025-02-14,407.79,408.91,405.88,408.43,405.44,22758500
2025-02-18,408.0,410.6,406.5,409.64,406.64,21423100
2025-02-19,407.88,415.49,407.65,414.77,411.73,24114200
2025-02-20,415.29,419.31,412.54,416.13,413.91,23508700
2025-02-21,417.34,418.05,407.89,408.21,406.03,27524800
2025-02-24,408.51,409.37,399.32,404.0,401.85,26443700
2025-02-25,401.1,401.92,396.7,397.9,395.78,29387400
2025-02-26,398.01,403.6,394.25,399.73,397.6,19619000
2025-02-27,401.27,405.74,392.17,392.53,390.44,21127400
2025-02-28,392.66,397.63,386.57,396.99,394.87,32845700
2025-03-03,398.82,398.82,386.16,388.49,386.42,23007700
2025-03-04,383.4,392.58,381.0,388.61,386.54,29342900
2025-03-05,389.34,401.67,388.81,401.02,398.88,23433100
2025-03-06,394.28,402.15,392.68,396.89,394.77,23304600
2025-03-07,392.32,394.8,385.54,393.31,391.21,22034100
2025-03-10,385.84,386.4,377.22,380.16,378.13,32840100
2025-03-11,379.0,386.0,376.91,380.45,378.42,30380200
2025-03-12,382.95,385.22,378.95,383.27,381.23,24253600
2025-03-13,383.16,385.32,377.45,378.77,376.75,20473000
2025-03-14,379.78,390.23,379.51,388.56,386.49,19952800
2025-03-17,386.7,392.71,385.57,388.7,386.63,22474300
2025-03-18,387.07,387.37,381.1,383.52,381.47,19486900
2025-03-19,385.53,389.68,384.0,387.82,385.75,19185500
2025-03-20,385.74,391.79,383.28,386.84,384.78,18470500
2025-03-21,383.22,391.74,382.8,391.26,389.17,39675900
2025-03-24,395.4,395.4,389.81,393.08,390.98,21004500
2025-03-25,393.92,396.36,392.64,395.16,393.05,15775000
2025-03-26,395.0,395.31,388.57,389.97,387.89,16108400
2025-03-27,390.13,392.24,387.4,390.58,388.5,13766800
2025-03-28,388.08,389.13,376.93,378.8,376.78,21632000
2025-03-31,372.54,377.07,367.24,375.39,373.39,35184700
2025-04-01,374.65,382.85,373.23,382.19,380.15,19689500
2025-04-02,377.97,385.08,376.62,382.14,380.1,16092600
2025-04-03,374.79,377.48,369.35,373.11,371.12,30198000
2025-04-04,364.13,374.59,359.48,359.84,357.92,49209900
2025-04-07,350.88,371.0,344.79,357.86,355.95,50425000
2025-04-08,368.26,373.65,350.25,354.56,352.67,35868900
2025-04-09,353.54,393.23,353.1,390.49,388.41,50199700
2025-04-10,382.06,383.9,367.8,381.35,379.32,38024400
2025-04-11,380.64,390.05,378.89,388.45,386.38,23839200
2025-04-14,393.22,394.65,384.21,387.81,385.74,19251200
2025-04-15,388.51,391.89,384.16,385.73,383.67,17199900
2025-04-16,380.67,381.61,368.0,371.61,369.63,21967800
2025-04-17,373.75,374.32,366.89,367.78,365.82,21120200
2025-04-21,362.82,364.48,355.67,359.12,357.21,20807300
2025-04-22,363.38,367.77,359.86,366.82,364.86,19485000
2025-04-23,376.06,380.39,373.02,374.39,372.39,20545500
2025-04-24,375.7,388.45,375.19,387.3,385.23,22232300
2025-04-25,387.0,392.16,384.6,391.85,389.76,18973200
2025-04-28,391.96,392.74,386.64,391.16,389.07,16579400
2025-04-29,391.3,395.1,390.38,394.04,391.94,14974000
2025-04-30,390.3,396.66,384.44,395.26,393.15,36461100
2025-05-01,431.11,436.99,424.9,425.4,423.13,58938100
2025-05-02,431.74,439.44,429.99,435.28,432.96,30757400
2025-05-05,432.87,439.5,432.11,436.17,433.84,20136100
2025-05-06,432.2,437.73,431.17,433.31,431.0,15104200
2025-05-07,433.84,438.12,431.11,433.35,431.04,23295300
2025-05-08,437.93,443.67,435.66,438.17,435.83,23491300
2025-05-09,440.0,440.74,435.88,438.73,436.39,15324200
2025-05-12,445.94,449.37,439.78,449.26,446.86,22821900
2025-05-13,447.78,450.67,445.36,449.14,446.75,23618800
2025-05-14,448.14,453.9,448.14,452.94,450.52,19902800
2025-05-15,450.77,456.19,450.43,453.13,451.54,21992300
2025-05-16,452.05,454.36,448.73,454.27,452.68,23849800
2025-05-19,450.88,459.59,450.8,458.87,457.26,21336500
2025-05-20,455.59,458.34,454.32,458.17,456.56,15441800
2025-05-21,454.57,457.78,451.81,452.57,450.98,19216900
2025-05-22,454.95,460.25,453.9,454.86,453.27,18025600
2025-05-23,449.98,453.69,448.91,450.18,448.6,16883500
2025-05-27,456.48,460.95,456.12,460.69,459.07,20974300
2025-05-28,461.22,462.52,456.93,457.36,455.76,17086300
2025-05-29,461.55,461.72,455.31,458.68,457.07,13974800
2025-05-30,459.72,461.68,455.54,460.36,458.75,34770500
2025-06-02,457.14,462.11,456.89,461.97,460.35,16626500
2025-06-03,461.47,464.14,460.86,462.97,461.35,15743800
2025-06-04,464.0,465.69,463.02,463.87,462.24,14162700
2025-06-05,464.96,469.65,464.03,467.68,466.04,20131700
2025-06-06,470.09,473.34,468.78,470.38,468.73,15285600
2025-06-09,469.7,473.43,468.62,472.75,471.09,16469900
2025-06-10,471.19,472.8,466.96,470.92,469.27,15375900
2025-06-11,470.02,475.47,469.66,472.62,470.96,16399200
2025-06-12,475.02,480.42,473.52,478.87,477.19,18950600
2025-06-13,476.41,479.18,472.76,474.96,473.29,16814500
2025-06-16,475.21,480.69,475.0,479.14,477.46,15626100
2025-06-17,475.4,478.74,474.08,478.04,476.36,15414100
2025-06-18,478.0,481.0,474.46,480.24,478.56,17526500
2025-06-20,482.23,483.46,476.87,477.4,475.73,37576200
2025-06-23,478.21,487.75,472.51,486.0,484.3,24864000
2025-06-24,488.95,491.85,486.8,490.11,488.39,22305600
2025-06-25,492.04,494.56,489.39,492.27,490.54,17495100
2025-06-26,492.98,498.04,492.81,497.45,495.71,21578900
2025-06-27,497.55,499.3,493.03,495.94,494.2,34539200
2025-06-30,497.04,500.76,495.33,497.41,495.67,28369000
2025-07-01,496.47,498.05,490.98,492.05,490.32,19945400
2025-07-02,489.99,493.5,488.7,491.09,489.37,16319600
2025-07-03,493.81,500.13,493.44,498.84,497.09,13984800
2025-07-07,497.38,498.75,495.23,497.72,495.97,13981600
2025-07-08,497.24,498.2,494.11,496.62,494.88,11846600
2025-07-09,500.3,506.78,499.74,503.51,501.74,18659500
2025-07-10,503.05,504.44,497.75,501.48,499.72,16492100
