Date,Open,High,Low,Close,Adj Close,Volume
2024-12-13,138.94,139.6,132.54,134.25,134.21,231514900
2024-12-16,134.18,134.4,130.42,132.0,131.96,237951100
2024-12-17,129.09,131.59,126.86,130.39,130.35,259410300
2024-12-18,133.86,136.7,128.28,128.91,128.87,277444500
2024-12-19,131.76,134.03,129.55,130.68,130.64,209719200
2024-12-20,129.81,135.28,128.22,134.7,134.66,306528600
2024-12-23,136.28,139.79,135.12,139.67,139.63,176053500
2024-12-24,140.0,141.9,138.65,140.22,140.18,105157000
2024-12-26,139.7,140.85,137.73,139.93,139.89,116205600
2024-12-27,138.55,139.02,134.71,137.01,136.97,170582600
2024-12-30,134.83,140.27,134.02,137.49,137.45,167734700
2024-12-31,138.03,138.07,133.83,134.29,134.25,155659200
2025-01-02,136.0,138.88,134.63,138.31,138.27,198247200
2025-01-03,140.01,144.9,139.73,144.47,144.43,229322500
2025-01-06,148.59,152.16,147.82,149.43,149.39,265377400
2025-01-07,153.03,153.13,140.01,140.14,140.1,351782200
2025-01-08,142.58,143.95,137.56,140.11,140.07,227349900
2025-01-10,137.45,139.92,134.22,135.91,135.87,207602500
2025-01-13,129.99,133.49,129.51,133.23,133.19,204808900
2025-01-14,136.05,136.38,130.05,131.76,131.72,195590500
2025-01-15,133.65,136.45,131.29,136.24,136.2,185217300
2025-01-16,138.64,138.75,133.49,133.57,133.53,209235600
2025-01-17,136.69,138.5,135.46,137.71,137.67,201188800
2025-01-21,139.16,141.83,137.09,140.83,140.79,197749000
2025-01-22,144.66,147.79,143.67,147.07,147.03,237651400
2025-01-23,145.05,147.23,143.72,147.22,147.18,155915500
2025-01-24,148.37,148.97,141.88,142.62,142.58,234657600
2025-01-27,124.8,128.4,116.7,118.42,118.39,818830900
2025-01-28,121.81,129.0,116.25,128.99,128.95,579666400
2025-01-29,126.5,126.89,120.05,123.7,123.67,467120600
2025-01-30,123.1,125.0,118.1,124.65,124.62,392925500
2025-01-31,123.78,127.85,119.19,120.07,120.04,388161100
2025-02-03,114.75,118.57,113.01,116.66,116.63,371235700
2025-02-04,116.96,121.2,116.7,118.65,118.62,256550000
2025-02-05,121.76,125.0,120.76,124.83,124.8,262230800
2025-02-06,127.42,128.77,125.21,128.68,128.64,251483600
2025-02-07,129.22,130.37,125.0,129.84,129.8,228186300
2025-02-10,130.09,135.0,129.96,133.57,133.53,216989100
2025-02-11,132.58,134.48,131.02,132.8,132.76,178902400
2025-02-12,130.02,132.24,129.08,131.14,131.1,160278600
2025-02-13,131.56,136.5,131.17,135.29,135.25,197430000
2025-02-14,136.48,139.25,135.5,138.85,138.81,195479600
2025-02-18,141.27,143.44,137.93,139.4,139.36,219176600
2025-02-19,139.51,141.36,137.22,139.23,139.19,167536000
2025-02-20,140.03,140.66,136.79,140.11,140.07,143903600
2025-02-21,140.04,141.46,134.03,134.43,134.39,228217600
2025-02-24,136.56,138.59,130.08,130.28,130.24,251381100
2025-02-25,129.98,130.2,124.44,126.63,126.6,271428700
2025-02-26,129.99,133.73,128.49,131.28,131.24,322553800
2025-02-27,135.0,135.01,120.01,120.15,120.12,443175800
2025-02-28,118.02,125.09,116.4,124.92,124.89,389091100
2025-03-03,123.51,123.7,112.28,114.06,114.03,411381400
2025-03-04,110.65,119.31,110.11,115.99,115.96,398163300
2025-03-05,117.58,118.28,114.51,117.3,117.27,284337900
2025-03-06,113.53,115.35,110.22,110.57,110.54,321181900
2025-03-07,111.25,113.48,107.56,112.69,112.66,341755500
2025-03-10,109.9,111.85,105.46,106.98,106.95,366487400
2025-03-11,106.99,112.24,104.77,108.76,108.73,354865700
2025-03-12,114.12,116.76,112.88,115.74,115.72,323857500
2025-03-13,117.03,117.76,113.79,115.58,115.56,299033100
2025-03-14,118.61,121.88,118.15,121.67,121.65,277593500
2025-03-17,122.74,122.89,118.03,119.53,119.51,255501500
2025-03-18,118.0,119.02,114.54,115.43,115.41,299686900
2025-03-19,117.27,120.45,115.68,117.52,117.5,273426200
2025-03-20,116.55,120.2,116.47,118.53,118.51,248829700
2025-03-21,116.94,117.99,115.42,117.7,117.68,266498500
2025-03-24,119.88,122.22,119.34,121.41,121.39,228452500
2025-03-25,120.55,121.29,118.92,120.69,120.67,167447200
2025-03-26,118.73,118.84,112.71,113.76,113.74,293463300
2025-03-27,111.35,114.45,110.66,111.43,111.41,236902100
2025-03-28,111.49,112.87,109.07,109.67,109.65,229872500
2025-03-31,105.13,110.96,103.65,108.38,108.36,299212700
2025-04-01,108.52,110.2,106.47,110.15,110.13,222614000
2025-04-02,107.29,111.98,106.79,110.42,110.4,220601200
2025-04-03,103.51,105.63,101.6,101.8,101.78,338769400
2025-04-04,98.91,100.13,92.11,94.31,94.29,532273800
2025-04-07,87.46,101.75,86.62,97.64,97.62,611041300
2025-04-08,103.81,105.85,94.46,96.3,96.28,476243400
2025-04-09,98.89,115.1,97.53,114.33,114.31,612918300
2025-04-10,109.37,110.86,99.15,107.57,107.55,437812400
2025-04-11,108.5,111.55,107.48,110.93,110.91,313417300
2025-04-14,114.11,114.29,109.07,110.71,110.69,264705000
2025-04-15,110.97,113.62,110.5,112.2,112.18,228966900
2025-04-16,104.55,106.79,100.45,104.49,104.47,397016900
2025-04-17,104.45,104.47,100.05,101.49,101.47,292517500
2025-04-21,98.77,99.44,95.04,96.91,96.89,288501100
2025-04-22,98.78,99.81,97.28,98.89,98.87,241004800
2025-04-23,104.52,104.8,102.02,102.71,102.69,247526000
2025-04-24,103.48,106.54,103.11,106.43,106.41,220815000
2025-04-25,106.85,111.92,105.73,111.01,110.99,251064700
2025-04-28,109.69,110.37,106.02,108.73,108.71,207708500
2025-04-29,107.67,110.2,107.44,109.02,109.0,170444300
2025-04-30,104.47,108.92,104.08,108.92,108.9,235044600
2025-05-01,113.08,114.94,111.3,111.61,111.59,236121500
2025-05-02,114.18,115.4,113.37,114.5,114.48,190194800
2025-05-05,112.91,114.67,112.66,113.82,113.8,133163200
2025-05-06,111.48,114.74,110.82,113.54,113.52,158525600
2025-05-07,113.05,117.68,112.28,117.06,117.04,206758800
2025-05-08,118.25,118.68,115.85,117.37,117.35,198428100
