Date,Open,High,Low,Close,Adj Close,Volume
2024-12-13,420.0,436.3,415.71,436.23,436.23,89000200
2024-12-16,441.09,463.19,436.15,463.02,463.02,114083800
2024-12-17,475.9,483.99,457.51,479.86,479.86,131223000
2024-12-18,466.5,488.54,427.01,440.13,440.13,149340800
2024-12-19,451.88,456.36,420.02,436.17,436.17,118566100
2024-12-20,425.51,447.08,417.64,421.06,421.06,132216200
2024-12-23,431.0,434.51,415.41,430.6,430.6,72698100
2024-12-24,435.9,462.78,435.14,462.28,462.28,59551800
2024-12-26,465.16,465.33,451.02,454.13,454.13,76366400
2024-12-27,449.52,450.0,426.5,431.66,431.66,82666800
2024-12-30,419.4,427.0,415.75,417.41,417.41,64941000
2024-12-31,423.79,427.93,402.54,403.84,403.84,76825100
2025-01-02,390.1,392.73,373.04,379.28,379.28,109710700
2025-01-03,381.48,411.88,379.45,410.44,410.44,95423300
2025-01-06,423.2,426.43,401.7,411.05,411.05,85516500
2025-01-07,405.83,414.33,390.0,394.36,394.36,75699500
2025-01-08,392.95,402.5,387.4,394.94,394.94,73038800
2025-01-10,391.4,399.28,377.29,394.74,394.74,62287300
2025-01-13,383.21,403.79,380.07,403.31,403.31,67580500
2025-01-14,414.34,422.64,394.54,396.36,396.36,84565000
2025-01-15,409.9,429.8,405.66,428.22,428.22,81375500
2025-01-16,423.49,424.0,409.13,413.82,413.82,68335200
2025-01-17,421.5,439.74,419.75,426.5,426.5,94991400
2025-01-21,432.64,433.2,406.31,424.07,424.07,87320900
2025-01-22,416.81,428.0,414.59,415.11,415.11,60963300
2025-01-23,416.06,420.73,408.95,412.38,412.38,50690600
2025-01-24,414.45,418.88,405.78,406.58,406.58,56427100
2025-01-27,394.8,406.69,389.0,397.15,397.15,58125500
2025-01-28,396.91,400.59,386.5,398.09,398.09,48910700
2025-01-29,395.21,398.59,384.48,389.1,389.1,68033600
2025-01-30,410.78,412.5,384.41,400.28,400.28,98092900
2025-01-31,401.53,419.99,401.34,404.6,404.6,83283600
2025-02-03,386.68,389.17,374.36,383.68,383.68,93732100
2025-02-04,382.63,394.0,381.4,392.21,392.21,57072200
2025-02-05,387.51,388.39,375.53,378.17,378.17,57223300
2025-02-06,373.03,375.4,363.18,374.32,374.32,77918200
2025-02-07,370.19,380.55,360.34,361.62,361.62,70298300
2025-02-10,356.21,362.7,350.51,350.73,350.73,77514900
2025-02-11,345.8,349.37,325.1,328.5,328.5,118543400
2025-02-12,329.94,346.4,329.12,336.51,336.51,105382700
2025-02-13,345.0,358.69,342.85,355.94,355.94,89441500
2025-02-14,360.62,362.0,347.5,355.84,355.84,68277300
2025-02-18,355.01,359.1,350.02,354.11,354.11,51631700
2025-02-19,354.0,367.34,353.67,360.56,360.56,67094400
2025-02-20,361.51,362.3,348.0,354.4,354.4,45965400
2025-02-21,353.44,354.98,334.42,337.8,337.8,74058600
2025-02-24,338.14,342.4,324.7,330.53,330.53,76052300
2025-02-25,327.02,328.89,297.25,302.8,302.8,134228800
2025-02-26,303.71,309.0,288.04,290.8,290.8,100118300
2025-02-27,291.16,297.23,280.88,281.95,281.95,101748200
2025-02-28,279.5,293.88,273.6,292.98,292.98,115697000
2025-03-03,300.34,303.94,277.3,284.65,284.65,115551400
2025-03-04,270.93,284.35,261.84,272.04,272.04,126706600
2025-03-05,272.92,279.55,267.71,279.1,279.1,94042900
2025-03-06,272.06,272.65,260.02,263.45,263.45,98451600
2025-03-07,259.32,266.25,250.73,262.67,262.67,102369600
2025-03-10,252.54,253.37,220.0,222.15,222.15,189076900
2025-03-11,225.31,237.06,217.02,230.58,230.58,174896400
2025-03-12,247.22,251.84,241.1,248.09,248.09,142215700
2025-03-13,248.13,248.29,232.6,240.68,240.68,114813500
2025-03-14,247.31,251.58,240.73,249.98,249.98,100242300
2025-03-17,245.06,245.4,232.8,238.01,238.01,111900600
2025-03-18,228.16,230.1,222.28,225.31,225.31,111477600
2025-03-19,231.61,241.41,229.2,235.86,235.86,111993800
2025-03-20,233.35,238.0,230.05,236.26,236.26,99028300
2025-03-21,234.99,249.52,234.55,248.71,248.71,132728700
2025-03-24,258.08,278.64,256.33,278.39,278.39,169079900
2025-03-25,283.6,288.2,271.28,288.14,288.14,150361500
2025-03-26,282.66,284.9,266.51,272.06,272.06,153629800
2025-03-27,272.48,291.85,271.82,273.13,273.13,162572100
2025-03-28,275.58,276.1,260.57,263.55,263.55,123809400
2025-03-31,249.31,260.56,243.36,259.16,259.16,134008900
2025-04-01,263.8,277.45,259.25,268.46,268.46,146486900
2025-04-02,254.6,284.99,251.27,282.76,282.76,212787800
2025-04-03,265.29,276.3,261.51,267.28,267.28,136174300
2025-04-04,255.38,261.0,236.0,239.43,239.43,181229400
2025-04-07,223.78,252.0,214.25,233.29,233.29,183453800
2025-04-08,245.0,250.44,217.8,221.86,221.86,171603500
2025-04-09,224.69,274.69,223.88,272.2,272.2,219433400
2025-04-10,260.0,262.49,239.33,252.4,252.4,181722600
2025-04-11,251.84,257.74,241.36,252.31,252.31,128948100
2025-04-14,258.36,261.8,245.93,252.35,252.35,100135200
2025-04-15,249.91,258.75,247.54,254.11,254.11,79594300
2025-04-16,247.61,251.97,233.89,241.55,241.55,112378700
2025-04-17,243.47,244.34,237.68,241.37,241.37,83404800
2025-04-21,230.26,232.21,222.79,227.5,227.5,97768000
2025-04-22,230.96,242.79,229.85,237.97,237.97,120858500
2025-04-23,254.86,259.45,244.43,250.74,250.74,150381900
2025-04-24,250.5,259.54,249.2,259.51,259.51,94464200
2025-04-25,261.69,286.85,259.63,284.95,284.95,167560700
2025-04-28,288.98,294.86,272.42,285.88,285.88,151731800
2025-04-29,285.5,293.32,279.47,292.03,292.03,108906600
2025-04-30,279.9,284.45,270.78,282.16,282.16,128961100
2025-05-01,280.01,290.87,279.81,280.52,280.52,99659000
2025-05-02,284.9,294.78,279.81,287.21,287.21,114454700
2025-05-05,284.57,284.85,274.4,280.26,280.26,94618900
2025-05-06,273.11,277.73,271.35,275.35,275.35,76715800
2025-05-07,276.88,277.92,271.0,276.22,276.22,71592600
2025-05-08,279.63,289.8,279.41,284.82,284.82,97539400
2025-05-09,290.21,307.04,290.0,298.26,298.26,132387800
2025-05-12,321.99,322.21,311.5,318.38,318.38,112826700
2025-05-13,320.0,337.59,316.8,334.07,334.07,136992600
2025-05-14,342.5,350.0,337.0,347.68,347.68,136997300
2025-05-15,340.34,346.14,334.72,342.82,342.82,97882600
2025-05-16,346.24,351.62,342.33,349.98,349.98,95895700
2025-05-19,336.3,343.0,333.37,342.09,342.09,88869900
2025-05-20,347.87,354.99,341.63,343.82,343.82,131715500
2025-05-21,344.43,347.35,332.2,334.62,334.62,102354800
2025-05-22,331.9,347.27,331.39,341.04,341.04,97113400
