field,ai_tool,reviewer_name,job_title,rating,review_title,date,job_category
디자인,Canva,Hannah G.,"Coordinator, Creative Services",4.0,"""Limited use cases but excels in its niche""","November 6, 2025",디자인/UX
디자인,Canva,Anthony N.,Lead Pastor,5.0,"""One Stop Shop""","October 15, 2025",경영/관리
디자인,Canva,Amber L.,Owner,3.0,"""Waiting for another option""","August 8, 2025",경영/관리
디자인,Canva,Alesandra V.,Marketing and admin,5.0,"""Best product in the 2000s""","October 14, 2025",경영/관리
디자인,Canva,Deborah H.,Communications Manager,5.0,"""Canva is an easier and cheaper graphic design option than Adobe""","November 28, 2025",경영/관리
디자인,Canva,Faith T.,Cmo,5.0,"""The best design software for non profits for the value ""","November 30, 2025",기타
디자인,Canva,Stephanie W.,Administrator,5.0,"""Great even for beginners""","October 10, 2025",경영/관리
디자인,Canva,Summer G.,Office Manager,4.0,"""Worth the money!""","October 14, 2025",경영/관리
디자인,Canva,Ravi V.,QA,4.0,"""Awesome Design App""","December 1, 2025",IT/개발
디자인,Canva,Anna F.,Content Marketing Coordinator,4.0,"""Good for social media assets, especially for non-designers ""","November 7, 2025",경영/관리
디자인,Canva,Lilian B.,Freelancer,5.0,"""The Best Design Tool for Everyone""","May 28, 2025",프리랜서
디자인,Canva,4.0,Verified Reviewer,4.0,"""Canva Review""","September 3, 2025",검증된리뷰어
디자인,Canva,4.0,Verified Reviewer,4.0,"""Upgrading Canva dilemma ""","July 11, 2025",검증된리뷰어
디자인,Canva,Beth A.,Copywriter and marketing consultant,5.0,"""Brilliant programme, can't imagine using anything else""","October 19, 2025",IT/개발
디자인,Canva,Adam R.,Owner,5.0,"""Awesome program/app""","November 24, 2025",경영/관리
디자인,Canva,5.0,Verified Reviewer,5.0,"""Canva for us ""","September 1, 2025",검증된리뷰어
디자인,Canva,Jana H.,Digital Marketing Specialist,5.0,"""A great tool for everyone, even complete beginners.""","October 10, 2025",IT/개발
디자인,Canva,5.0,Verified Reviewer,5.0,"""Powerful and Intuitive Design Tool""","July 24, 2025",검증된리뷰어
디자인,Canva,Alexis P.,Logistics associate,5.0,"""Canva = endless creativity""","October 7, 2025",운영/물류
디자인,Canva,Sam K.,Graphic Designer,5.0,"""Incredible Platform for Efficient and Effective Design""","November 12, 2025",디자인/UX
디자인,Canva,Rosanne R.,Marketing Designer,5.0,"""Canva Your Way to all your Design Needs!""","May 23, 2025",디자인/UX
디자인,Canva,Lakshay K.,engineer,5.0,"""Easy-to-use design tool for beginners & professionals""","August 18, 2025",IT/개발
디자인,Canva,Derek H.,Account Manager,5.0,"""Canva is the greatest design platform around""","April 28, 2025",경영/관리
디자인,Canva,Johnson A.,Creative Director,4.0,"""Video and Image Editing made Easy""","August 31, 2025",IT/개발
디자인,Canva,Void D.,Freelance Artist,4.0,"""Canva Review""","July 1, 2025",디자인/UX
디자인,Canva,Angel C.,Blogger,5.0,"""Canva: Diseño Profesional al Alcance de Todos""","December 4, 2025",기타
디자인,Canva,Ivory M.,Training and Technical Assistance Coordinator,5.0,"""Can't Imagine Life Without Canva""","October 2, 2025",IT/개발
디자인,Canva,Amos R.,Owner.,5.0,"""Best image editor and marketing materials creator. ""","November 13, 2025",경영/관리
디자인,Canva,Ann T.,Events Coordinator,5.0,"""A marketing must have!""","November 4, 2025",경영/관리
디자인,Canva,Janna P.,Administrative Assistant,5.0,"""Canva for the Win""","November 5, 2025",경영/관리
디자인,Canva,Nilesh P.,Founder,5.0,"""Fast design for non designers""","October 29, 2025",경영/관리
디자인,Canva,David D.,Franchise Owner Travel Advisor,5.0,"""Canva for the save""","December 4, 2025",경영/관리
디자인,Canva,5.0,Verified Reviewer,5.0,"""Canva has almost replaced illustrator... almost""","November 27, 2025",검증된리뷰어
디자인,Canva,Matias C.,CEO,5.0,"""Our design HQ in the cloud. Fast, collaborative, and endlessly useful""","October 21, 2025",경영/관리
디자인,Canva,Brynn F.,HR Manager,5.0,"""Create high quality products with ease""","November 21, 2025",경영/관리
디자인,Canva,Nehal S.,Founder,5.0,"""Canva Easy and Professional Design for Everyone ""","November 13, 2025",경영/관리
디자인,Canva,Daniele J.,Diretora,5.0,"""Canva: A Ferramenta de Design Essencial para Todos!""","August 15, 2025",기타
